
>>> Values:
 Random Seed Value = 25264
 Number of Physical Paths = 5
 Number of Learning Paths per Physical Path = 1
 Method = 5
 Number of Lookahead Levels = 1
 Path-File Mode = 3
 Step-Size Parameter ALPHA = 0.100000
 Discount Rate GAMMA = 0.900000
 Lookahead Weight Factor LAMBDA = 0.500000
 Q-value Weight Factor w1 = 0.800000
 Distance-to-Goal Weight Factor w2 = 0.500000
 Initial Full Exploration is OFF
 Visited-Number Weight factor w3 = 0.500000
 TAW has greedy-mode value = 1
 Star is 1 at location [0, 0]
 Goal is H

>>> Input Maze:
 O  O  O  O  O  O  O  B 
 O  O  O  O  B  O  O  O 
 O  O  O  B  O  O  O  O 
 O  B  O  O  O  B  O  O 
 O  B  O  B  O  B  O  O 
 O  O  O  O  O  O  O  B 
 O  O  O  O  O  O  B  B 
 B  O  O  O  B  O  B  J 
 O  O  O  B  O  O  O  O 
 O  B  O  O  O  B  O  B 
 O  B  O  B  O  B  O  X 
 O  E  O  W  O  O  H  B 


>>> Agent Physical Path 1:
 Step  65: Agent moved UP_LEFT to location [x=0,y=6], randomly.
 Step  66: Agent moved RIGHT to location [x=1,y=6], randomly.
 Step  67: Agent moved UP_RIGHT to location [x=2,y=5], randomly.
 Step  68: Agent moved DOWN_LEFT to location [x=1,y=6], randomly.
 Step  69: Agent moved UP_RIGHT to location [x=2,y=5], randomly.
 Step  70: Agent moved DOWN_RIGHT to location [x=3,y=6], randomly.
 Step  71: Agent moved  DOWN to location [x=3,y=7], randomly.
 Step  72: Agent moved    UP to location [x=3,y=6], randomly.
 Step  73: Agent moved DOWN_LEFT to location [x=2,y=7], randomly.
 Step  74: Agent moved UP_RIGHT to location [x=3,y=6], randomly.
 Step  75: Agent moved RIGHT to location [x=4,y=6], randomly.
 Step  76: Agent moved UP_LEFT to location [x=3,y=5], randomly.
 Step  77: Agent moved UP_RIGHT to location [x=4,y=4], randomly.
 Step  78: Agent moved DOWN_RIGHT to location [x=5,y=5], randomly.
 Step  79: Agent moved  LEFT to location [x=4,y=5], randomly.
 Step  80: Agent moved RIGHT to location [x=5,y=5], randomly.
 Step  81: Agent moved UP_RIGHT to location [x=6,y=4], randomly.
